Handle,Title,Custom Product Type,Tags,Variant SKU
bhagirathi-pant,Bhagirathi pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Color_White, Price_0K-1K, Sale, Style_Cigarette Pant",439
tapti-pant,Tapti pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Price_0K-1K, Sale, Style_Cigarette Pant",433
betwa-pant,Betwa pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Sale, Style_Cigarette Pant",427
manjira-palazzo,Manjira palazzo,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_White, Price_0K-1K, Sale, Style_Palazzo",421
hoogly-pant,Hoogly pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Price_0K-1K, Sale, Style_Broad Pant",415
hemavati-palazzo,Hemavati palazzo,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Color_White, Price_0K-1K, Sale, Style_Palazzo",397
kaveri-pant,Kaveri pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Color_Yellow, Price_0K-1K, Sale, Style_Broad Pant",391
vaighai-pant,Vaighai pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Antique Moss, Price_0K-1K, Sale, Style_Cigarette Pant",385
doda-pant,Doda pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Brown, Price_0k-1K, Sale, Style_Cigarette Pant",373
penner-kurti,Penner kurti,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Grey, Color_White, Neck Type_Short V-Neck, Price_1K to 2K, Sale, Style_Short",175
sharavati-kurti,Sharavati kurti,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Yellow, Neck Type_Short V-Neck, Price_1K to 2K, Sale, Style_Short",169
koyna-kurti,Koyna kurti,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Black, Neck Type_Short V-Neck, Price_1K to 2K, Sale, Style_Short",163
pamba-pant,Pamba pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Peach, Price_0K-1K, Sale, Style_Broad Pant",367
hemavati-kurta,Hemavati kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Dark Grey, Color_White, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_Princess Cut",157
mandovi-pant,Mandovi pants,Pants,"Category_Pants, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Color_Red, Price_0k-1K, Style_Cigarette Pant",355
painganga-kurta,Painganga kurta,Kurta,"Category_Kurta, Category_Women, Collection_Nadiyan Kinare, Color_Blue, Neck Type_Round Neck Slit, Price_1K to 2K, Sale, Style_Princess Cut",151
